target_col,test_seed,subsample_seed,n_train,descriptor_family,model_name,feature,importance_mean,importance_std
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,Df,0.0017446956017791448,0.00014109124184914635
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,Di,-0.00042033999450371564,0.00012884288148917562
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,Dif,0.001243346871367279,0.00014762512341531692
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,lcd_pld_ratio,-0.002625678056401215,0.0002329693109666901
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,cavity_window_gap,0.0002992531830668388,0.0004174452092828563
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,sa_pv_ratio,0.0029666100188066036,0.00010577279411839468
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,vf_density_ratio,0.039379299172128436,0.0006070525403047188
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,log_pld_plus1,0.0015168321855569267,9.32290805097047e-05
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,log_lcd_plus1,-0.0008704578138716724,8.48307104698464e-05
uptake(mmol/g) CO2 at 0.15 bar,17,2,500,geometry_plus_topology,rf,topology_label___OTHER__,0.08085810949484892,0.0012454210774332584
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,UC_volume,0.012084192642600623,0.0002633437475684386
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,Density,0.01314892015748238,0.00033898986057768804
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,ASA,0.004018988882182861,0.0001590367226423914
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,vASA,0.012004471911623849,0.000364623287987253
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,NASA,0.002228191674909319,0.00012381027344940824
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,AVA,0.11755268343118852,0.0005138372105626609
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,AVAf,0.1572509911775303,0.0009783236003351957
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,POAVA,0.003602827719750401,0.00020355108420384377
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,Df,0.0057292615380502565,0.00028583142698547276
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,Di,0.003095788318822168,8.669593448140856e-05
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,Dif,0.006936466684064091,0.00015920295893990968
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,lcd_pld_ratio,0.002508122335629892,0.00020344489089372365
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,cavity_window_gap,0.0028201369925018095,0.0002932503229008004
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,sa_pv_ratio,0.00556875784573011,0.00017181232198347946
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,vf_density_ratio,0.11072398636321164,0.00108141677119101
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,log_pld_plus1,0.006415118087956906,0.0003539060730983236
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,log_lcd_plus1,0.002189408620418043,8.406253848038221e-05
uptake(mmol/g) CO2 at 0.15 bar,17,2,2000,geometry_plus_topology,rf,topology_label___OTHER__,0.13759146142406037,0.001641691150745811
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,UC_volume,0.025507655652409766,0.0006617353775700785
uptake(mmol/g) CO2 at 0.15 bar,17,2,10000,geometry_plus_topology,rf,Density,0.04269386151447395,0.0007460583319093641
